count,date_mutation,valeur_fonciere
14052,2019-07-31,2888714.070561486
6482,2019-08-31,766804.12194693
11061,2019-09-30,1638784.3787858242
12573,2019-10-31,3506194.52088364
10205,2019-11-30,2585186.336848604
16855,2019-12-31,2826934.6276422427
9717,2020-01-31,1496044.1607903673
9594,2020-02-29,1226162.2780904733
8033,2020-03-31,3747691.714398108
4674,2020-04-30,6384252.860832264
7740,2020-05-31,847239.0172855298
11804,2020-06-30,2282150.561243646
11237,2020-07-31,2022310.0884693423
5313,2020-08-31,498254.1051326934
11229,2020-09-30,1642270.039857512
11406,2020-10-31,2359876.512511836
9983,2020-11-30,1857038.5205609533
17214,2020-12-31,3200766.6258859066
8654,2021-01-31,1106916.365233418
8641,2021-02-28,936441.1725112834
11934,2021-03-31,1594933.5423604825
10879,2021-04-30,1005748.0547182646
10823,2021-05-31,2438900.76548092
14010,2021-06-30,1314401.833321913
14826,2021-07-31,2811056.433936328
6696,2021-08-31,833641.859749104
12591,2021-09-30,1411190.92619093
11808,2021-10-31,4708758.648811823
11309,2021-11-30,2361557.873559112
18709,2021-12-31,4229025.830996312
9259,2022-01-31,1931150.831250675
9838,2022-02-28,1015759.9023439724
12590,2022-03-31,1923804.6971247024
11614,2022-04-30,2217194.854604787
11764,2022-05-31,1443488.759798538
14011,2022-06-30,2093950.0944921847
14271,2022-07-31,5540434.590124728
7097,2022-08-31,997804.3830364944
12570,2022-09-30,3346585.008451869
10884,2022-10-31,1065109.6450192942
11053,2022-11-30,2191991.587581652
16127,2022-12-31,4984478.603925095
9375,2023-01-31,5119746.790472534
8273,2023-02-28,1081609.910442403
11355,2023-03-31,3134697.2856952883
8605,2023-04-30,1543766.4185589773
9686,2023-05-31,1580981.4039097668
11919,2023-06-30,2745729.891482507
10639,2023-07-31,1771774.0815236396
5652,2023-08-31,1023375.6158297948
9111,2023-09-30,896867.415593239
9450,2023-10-31,1765722.9469820105
7698,2023-11-30,1254071.6389010132
12275,2023-12-31,1816558.5591331976
7017,2024-01-31,751011.2998731652
7136,2024-02-29,866941.6857301008
8052,2024-03-31,962374.942998013
7791,2024-04-30,1636885.4657938648
7264,2024-05-31,2283160.023086454
8552,2024-06-30,1982853.3843954632
