departmentName,valeur_fonciere
Jura,63875646.0124398
Morbihan,56253951.06440674
Marne,9733332.508373808
Côtes-d'armor,4346079.89739364
Dordogne,3720642.973048447
Guadeloupe,3431359.0476629115
Paris,3365358.977821737
Hauts-de-Seine,3141513.945047412
Val-d'oise,2790127.7220450225
La Réunion,2653350.639378882
Nord,2625113.368743713
Guyane,2608694.870182253
Var,2370977.170276319
Val-de-Marne,2193408.1279658363
Seine-Saint-Denis,1904530.413388961
Yvelines,1254852.3430845104
Martinique,1147037.5979731265
Essonne,1098754.306225669
Loire,857166.6872947307
Seine-et-Marne,840278.525386891
Haute-Garonne,835633.7115466174
Seine-Maritime,789200.6396931099
Alpes-Maritimes,772602.6542800659
Rhône,748917.6487605026
Bouches-du-Rhône,714829.6552771406
Haute-Garonne,581875.4042203566
Gironde,560958.5675488809
Corse-du-Sud,552879.8759484307
Haute-Savoie,548350.0139185702
Allier,533863.0799809659
Savoie,455152.2136315651
Isère,453780.3915430058
Vaucluse,446866.338948452
Calvados,434167.335884405
Ain,416724.9819177756
Gard,406791.7842419773
Haute-Corse,395441.3436480669
Hérault,393071.0499916415
Drôme,373663.10229562776
Pas-de-Calais,372112.9550190623
Loire-Atlantique,362014.5079777926
Oise,355087.3269101314
Pyrénées-Atlantiques,354828.6847248275
Loiret,353808.5299674721
Hautes-Pyrénées,335029.86321879044
Somme,330608.89078867773
Meurthe-et-Moselle,328512.1953933224
Ille-et-Vilaine,326213.819216574
Gard,310686.46690659854
Charente-Maritime,305857.81348909065
Landes,299921.514451529
Hautes-Alpes,299168.7384937156
Indre-et-Loire,292818.55058879545
Côte-d'or,285902.53837379673
Doubs,273957.18556502217
Eure,273850.30020554474
Maine-et-Loire,273559.5996156595
Cher,269690.6654015533
Vendée,261149.7125994508
Creuse,257848.81628529757
Territoire de Belfort,248424.27214735132
Orne,234455.53498160187
Finistère,226924.42030540368
Gers,225725.32384387412
Sarthe,224632.4608359291
Tarn-et-Garonne,221010.2590106257
Finistère,219181.33130006283
Aude,218234.95506771395
Ardèche,216221.57319730992
Puy-de-Dôme,215109.5795097148
Alpes-de-Haute-Provence,215008.0736380113
Eure-et-Loir,212444.97948359925
Aube,211271.88770660927
Lot-et-Garonne,211137.75300830867
Loir-et-Cher,210019.06647247745
Pyrénées-Orientales,209554.85312064947
Saône-et-Loire,206981.69364117493
Meuse,206513.7998697
Haute-Vienne,203709.5199419293
Tarn,203030.6075339283
Manche,200189.49048698795
Lot,199112.1059636969
Charente,192554.1515398477
Lozère,191028.9908750344
Yonne,175480.46874360958
Vienne,171727.97169956463
Ariège,168134.49718259752
Aveyron,166834.83203060736
Mayenne,164911.34506929806
Deux-Sèvres,164850.68880028458
Aisne,163481.04569686638
Haute-Loire,158559.50504987498
Haute-Marne,154221.09246864868
Vosges,153301.86281299443
Corrèze,153114.71558522937
Indre,149717.52355908486
Ardennes,145211.3581929398
Haute-Saône,143611.32364897517
Cantal,136471.09591273338
Nièvre,131940.67891367082
