code_departement,valeur_fonciere
1,416724.9819177756
2,163481.04569686638
3,533863.0799809659
4,215008.07363801132
5,299168.7384937156
6,772602.6542800659
7,216221.57319730992
8,145211.3581929398
9,168134.49718259752
10,211271.88770660927
11,218234.95506771395
12,166834.83203060736
13,714829.6552771406
14,434167.335884405
15,136471.09591273338
16,192554.15153984766
17,305857.81348909065
18,269690.6654015533
19,153114.71558522937
21,285902.53837379673
22,4346079.89739364
23,257848.81628529754
24,3720642.9730484467
25,273957.18556502217
26,373663.10229562776
27,273850.30020554474
28,212444.97948359925
29,219181.33130006283
30,406791.7842419773
31,581875.4042203566
32,225725.32384387415
33,560958.5675488809
34,393071.0499916415
35,326213.819216574
36,149717.52355908486
37,292818.55058879545
38,453780.3915430058
39,63875646.012439795
40,299921.514451529
41,210019.06647247743
42,857166.6872947307
43,158559.50504987498
44,362014.5079777926
45,353808.5299674721
46,199112.1059636969
47,211137.75300830867
48,191028.99087503442
49,273559.5996156595
50,200189.49048698795
51,9733332.508373808
52,154221.09246864868
53,164911.34506929806
54,328512.1953933224
55,206513.79986970001
56,56253951.06440674
58,131940.67891367082
59,2625113.368743713
60,355087.3269101314
61,234455.53498160187
62,372112.95501906227
63,215109.57950971482
64,354828.6847248275
65,335029.86321879044
66,209554.85312064947
69,748917.6487605026
70,143611.32364897517
71,206981.69364117493
72,224632.4608359291
73,455152.2136315651
74,548350.0139185702
75,3365358.9778217375
76,789200.6396931099
77,840278.525386891
78,1254852.3430845104
79,164850.68880028458
80,330608.89078867773
81,203030.6075339283
82,221010.25901062574
83,2370977.170276319
84,446866.33894845203
85,261149.71259945078
86,171727.97169956463
87,203709.5199419293
88,153301.86281299443
89,175480.46874360958
90,248424.27214735135
91,1098754.306225669
92,3141513.945047412
93,1904530.413388961
94,2193408.1279658363
95,2790127.7220450225
971,3431359.0476629115
972,1147037.5979731265
973,2608694.870182253
974,2653350.639378882
29,226924.42030540368
2A,552879.8759484307
2B,395441.3436480669
30,310686.46690659854
31,835633.7115466174
